card_id,card_type,title,short_description,full_description,topics,skills_required,skills_gained,news_category,format,language,location,published_at,updated_at,freshness_timestamp,source_name,source_type,author_name,estimated_read_time_minutes,quality_score,popularity_score,editorial_priority,source_authority,topic_urgency,actionability_relevance,recency_score,breaking_score,novelty_score,integrity_score,status,embedding_vector
news_0010,news,Fresh Design news with direct student upside,"TechWire covers design, research, robotics for students who want personally relevant, current news.","Fresh Design news with direct student upside focuses on design, research, robotics and explains why the update matters now. It is written for students who bring data_literacy, figma and can deepen react while staying current on fast-moving developments.",design|research|robotics,data_literacy|figma,react,student_opportunity,briefing,ru,APAC,2026-03-22T00:22:43.118506,2026-03-22T09:19:04.264315,2026-03-22T09:19:04.264315,TechWire,newsroom,Design Desk,8,0.8584,0.9638,0.7102,0.93,0.5782,0.8286,0.8502,0.28,0.6626,0.8878,active,"[0.4727,0.2451,0.5174,0.1578,-0.1715,-0.2314,-0.2692,-0.0033,-0.4867,0.0015,-0.161,0.0747]"
news_0011,news,Policy market pulse and hiring signal,"Security Brief covers policy for students who want personally relevant, current news.","Policy market pulse and hiring signal focuses on policy and explains why the update matters now. It is written for students who bring critical_thinking, data_literacy and can deepen javascript while staying current on fast-moving developments.",policy,critical_thinking|data_literacy,javascript,market_map,briefing,en,APAC,2026-03-22T05:08:22.918348,2026-03-22T12:00:00,2026-03-22T12:00:00,Security Brief,specialist_media,Policy Desk,2,0.795,0.7345,0.8878,0.94,0.9867,0.58,0.9704,0.3041,1.0,0.8676,active,"[0.4885,-0.2659,-0.0664,0.3781,-0.211,-0.1392,0.2786,-0.2566,0.4458,0.3692,0.0264,-0.0134]"
news_0012,news,What the latest Data study means right now,"Lab Chronicle covers data, fintech, science for students who want personally relevant, current news.","What the latest Data study means right now focuses on data, fintech, science and explains why the update matters now. It is written for students who bring analytics, leadership, python and can deepen sql while staying current on fast-moving developments.",data|fintech|science,analytics|leadership|python,sql,research_digest,analysis,ru,LATAM,2026-03-20T20:12:07.846077,2026-03-21T04:27:35.290037,2026-03-21T04:27:35.290037,Lab Chronicle,research_lab,Data Desk,9,0.8202,0.7023,0.6663,0.97,0.4349,0.6659,0.3367,0.1773,0.5772,0.8779,active,"[-0.2179,0.2448,-0.3619,0.3734,-0.1405,-0.4147,-0.5628,-0.1635,-0.2866,0.0246,-0.0569,-0.0307]"
news_0013,news,Product market pulse and hiring signal,"Builder Weekly covers product, robotics, science for students who want personally relevant, current news.","Product market pulse and hiring signal focuses on product, robotics, science and explains why the update matters now. It is written for students who bring critical_thinking, javascript, leadership and can deepen react, sql while staying current on fast-moving developments.",product|robotics|science,critical_thinking|javascript|leadership,react|sql,market_map,live_blog,ru,US,2026-03-22T04:32:41.423035,2026-03-22T12:00:00,2026-03-22T12:00:00,Builder Weekly,company_blog,Product Desk,13,0.8005,0.801,0.6008,0.82,0.6128,0.6396,0.9744,0.3049,0.8001,0.8243,active,"[0.4775,-0.309,0.1478,0.2668,-0.0558,-0.3738,-0.3909,0.1109,-0.1937,0.4485,-0.1182,-0.1517]"
news_0014,news,Science alert reshapes student roadmap,"Startup Signal covers science for students who want personally relevant, current news.","Science alert reshapes student roadmap focuses on science and explains why the update matters now. It is written for students who bring critical_thinking, data_literacy and can deepen python while staying current on fast-moving developments.",science,critical_thinking|data_literacy,python,breaking,briefing,es,US,2026-03-20T16:57:08.810878,2026-03-21T01:53:31.216584,2026-03-21T01:53:31.216584,Startup Signal,industry_media,Science Desk,5,0.8377,0.4898,0.7689,0.88,0.421,0.7094,0.2868,0.8368,0.5783,0.8406,active,"[-0.2088,-0.4038,0.3409,0.3437,-0.5473,0.1143,-0.1412,-0.3421,-0.2908,0.1324,0.0822,0.0237]"
news_0015,news,What the latest Design study means right now,"Policy Radar covers design, robotics for students who want personally relevant, current news.","What the latest Design study means right now focuses on design, robotics and explains why the update matters now. It is written for students who bring figma and can deepen leadership while staying current on fast-moving developments.",design|robotics,figma,leadership,research_digest,briefing,en,Global,2026-03-22T08:46:50.938965,2026-03-22T09:55:56.091795,2026-03-22T09:55:56.091795,Policy Radar,government_watch,Design Desk,13,0.8475,0.9623,0.5817,0.95,0.5966,0.4614,0.9161,0.2932,0.9408,0.9037,active,"[0.2096,0.2813,0.2046,0.4132,-0.1,-0.2164,-0.1978,0.4638,-0.5001,-0.2,-0.0435,-0.2474]"
news_0016,news,How the new Web rule changes the field,"Builder Weekly covers web for students who want personally relevant, current news.","How the new Web rule changes the field focuses on web and explains why the update matters now. It is written for students who bring react and can deepen git, machine_learning while staying current on fast-moving developments.",web,react,git|machine_learning,policy_watch,live_blog,en,US,2026-03-22T06:10:23.645791,2026-03-22T11:41:49.416232,2026-03-22T11:41:49.416232,Builder Weekly,company_blog,Web Desk,11,0.8231,0.7763,0.586,0.82,0.6037,0.7191,0.9415,0.6712,0.5625,0.754,active,"[0.4887,0.0974,0.0215,0.359,0.23,-0.1867,-0.4463,-0.507,0.2176,-0.0586,-0.1453,0.0806]"
news_0017,news,New Web paper distilled for students,"Startup Signal covers web for students who want personally relevant, current news.","New Web paper distilled for students focuses on web and explains why the update matters now. It is written for students who bring javascript, react and can deepen critical_thinking, data_literacy while staying current on fast-moving developments.",web,javascript|react,critical_thinking|data_literacy,research_digest,briefing,en,Global,2026-03-19T09:31:41.023611,2026-03-19T15:46:31.258994,2026-03-19T15:46:31.258994,Startup Signal,industry_media,Web Desk,2,0.7084,0.4317,0.6735,0.88,0.3682,0.4753,0.0976,0.1295,0.7512,0.8002,hidden,"[0.44,-0.2191,0.0814,0.3487,-0.0511,-0.3871,0.0103,-0.2776,0.2504,-0.1016,-0.1931,-0.5388]"
news_0018,news,What the latest Data study means right now,"Builder Weekly covers data, fintech for students who want personally relevant, current news.","What the latest Data study means right now focuses on data, fintech and explains why the update matters now. It is written for students who bring data_literacy and can deepen prompt_engineering while staying current on fast-moving developments.",data|fintech,data_literacy,prompt_engineering,research_digest,newsletter,ru,Global,2026-03-22T04:04:47.336242,2026-03-22T08:48:22.102398,2026-03-22T08:48:22.102398,Builder Weekly,company_blog,Data Desk,11,0.8194,0.6127,0.8106,0.82,0.562,0.7042,0.7923,0.2685,0.8793,0.8475,active,"[-0.0867,-0.1891,-0.2551,0.2884,-0.4643,-0.4282,-0.3389,0.166,0.3644,0.002,-0.359,0.0746]"
news_0019,news,Product demand snapshot for students and builders,"TechWire covers product for students who want personally relevant, current news.","Product demand snapshot for students and builders focuses on product and explains why the update matters now. It is written for students who bring analytics, design_thinking and can deepen data_literacy while staying current on fast-moving developments.",product,analytics|design_thinking,data_literacy,market_map,analysis,en,LATAM,2026-03-21T12:01:06.926125,2026-03-21T22:37:25.693627,2026-03-21T22:37:25.693627,TechWire,newsroom,Product Desk,8,0.7173,0.7671,0.5253,0.93,0.4999,0.5215,0.5696,0.2239,0.9647,0.8801,active,"[0.1473,0.1508,0.2128,-0.167,0.1239,-0.0805,-0.5894,0.0011,0.2049,0.4631,0.023,0.5062]"
news_0020,news,Product demand snapshot for students and builders,"Global Science Desk covers product for students who want personally relevant, current news.","Product demand snapshot for students and builders focuses on product and explains why the update matters now. It is written for students who bring analytics, design_thinking and can deepen figma, sql while staying current on fast-moving developments.",product,analytics|design_thinking,figma|sql,market_map,explainer,en,US,2026-03-22T03:04:45.813934,2026-03-22T12:00:00,2026-03-22T12:00:00,Global Science Desk,science_media,Product Desk,8,0.93,0.7339,0.5337,0.96,0.5912,0.555,0.8969,0.2894,0.7002,0.8233,active,"[0.2317,0.1652,0.0653,-0.1141,0.2599,-0.1076,-0.1678,0.4309,0.0271,0.3963,0.2409,0.6269]"
news_0021,news,Ai product release with immediate implications,"Lab Chronicle covers ai, research, startups for students who want personally relevant, current news.","Ai product release with immediate implications focuses on ai, research, startups and explains why the update matters now. It is written for students who bring analytics, leadership, public_speaking and can deepen critical_thinking while staying current on fast-moving developments.",ai|research|startups,analytics|leadership|public_speaking,critical_thinking,product_launch,analysis,en,LATAM,2026-03-21T03:58:20.024435,2026-03-21T16:00:40.604902,2026-03-21T16:00:40.604902,Lab Chronicle,research_lab,Ai Desk,5,0.8782,0.7456,0.5954,0.97,0.657,0.735,0.4496,0.1999,0.6497,0.951,active,"[0.4625,0.446,-0.1288,0.0096,-0.2138,-0.3803,0.0211,-0.1847,-0.1593,0.0234,0.5488,-0.1359]"
news_0022,news,Data product release with immediate implications,"Policy Radar covers data, web for students who want personally relevant, current news.","Data product release with immediate implications focuses on data, web and explains why the update matters now. It is written for students who bring design_thinking, react and can deepen git, prompt_engineering while staying current on fast-moving developments.",data|web,design_thinking|react,git|prompt_engineering,product_launch,live_blog,en,Global,2026-03-21T17:01:43.009296,2026-03-21T21:24:00.337501,2026-03-21T21:24:00.337501,Policy Radar,government_watch,Data Desk,5,0.7841,0.5529,0.5988,0.95,0.4931,0.8905,0.5451,0.219,0.7902,0.9419,active,"[0.6119,0.1231,-0.1586,-0.0026,0.4345,-0.5215,-0.0361,-0.0755,0.3308,-0.0807,-0.0331,0.0213]"
news_0023,news,Climate product release with immediate implications,"Security Brief covers climate for students who want personally relevant, current news.","Climate product release with immediate implications focuses on climate and explains why the update matters now. It is written for students who bring analytics, public_speaking and can deepen figma while staying current on fast-moving developments.",climate,analytics|public_speaking,figma,product_launch,explainer,en,US,2026-03-21T17:26:28.474924,2026-03-21T19:08:48.448157,2026-03-21T19:08:48.448157,Security Brief,specialist_media,Climate Desk,8,0.7356,0.5814,0.8068,0.94,0.7973,0.8037,0.5495,0.2199,0.9038,0.8724,active,"[0.3373,0.4447,0.1255,-0.085,-0.0705,0.1063,-0.1328,0.181,0.3592,-0.2887,0.4309,0.4482]"
news_0024,news,Fresh Data regulation update explained,"Startup Signal covers data for students who want personally relevant, current news.","Fresh Data regulation update explained focuses on data and explains why the update matters now. It is written for students who bring data_literacy, python and can deepen analytics, prompt_engineering while staying current on fast-moving developments.",data,data_literacy|python,analytics|prompt_engineering,policy_watch,briefing,ru,Global,2026-03-19T14:30:49.858024,2026-03-19T22:43:21.654771,2026-03-19T22:43:21.654771,Startup Signal,industry_media,Data Desk,11,0.8497,0.3553,0.5387,0.88,0.3756,0.9236,0.124,0.3033,0.5167,0.8604,hidden,"[0.0293,-0.0466,-0.0577,0.428,-0.4727,-0.1653,-0.3478,-0.1735,0.1235,0.3165,0.2518,0.4794]"
news_0025,news,Ai moves that create student openings,"Global Science Desk covers ai, science, startups for students who want personally relevant, current news.","Ai moves that create student openings focuses on ai, science, startups and explains why the update matters now. It is written for students who bring public_speaking and can deepen leadership, machine_learning while staying current on fast-moving developments.",ai|science|startups,public_speaking,leadership|machine_learning,student_opportunity,live_blog,en,MENA,2026-03-22T03:46:14.039064,2026-03-22T10:22:13.202023,2026-03-22T10:22:13.202023,Global Science Desk,science_media,Ai Desk,5,0.7313,0.9915,0.9452,0.96,0.8173,0.9497,0.8575,0.2815,0.5769,0.8331,active,"[-0.2027,0.0015,-0.5494,0.1386,-0.4616,-0.5156,-0.2524,0.1613,-0.0841,0.2373,0.0646,-0.04]"
news_0026,news,What the latest Ai study means right now,"TechWire covers ai, mobile, research for students who want personally relevant, current news.","What the latest Ai study means right now focuses on ai, mobile, research and explains why the update matters now. It is written for students who bring javascript, machine_learning and can deepen python, react while staying current on fast-moving developments.",ai|mobile|research,javascript|machine_learning,python|react,research_digest,briefing,en,LATAM,2026-03-22T02:09:23.876396,2026-03-22T05:51:46.633148,2026-03-22T05:51:46.633148,TechWire,newsroom,Ai Desk,2,0.924,0.8359,0.7749,0.93,0.6681,0.5788,0.7662,0.2632,0.7445,0.8293,active,"[0.1818,0.2405,0.034,0.2969,-0.4187,-0.3467,-0.3609,-0.3493,-0.1709,0.3097,-0.3815,0.0374]"
news_0027,news,Product moves that create student openings,"Startup Signal covers product, research for students who want personally relevant, current news.","Product moves that create student openings focuses on product, research and explains why the update matters now. It is written for students who bring analytics, design_thinking and can deepen javascript while staying current on fast-moving developments.",product|research,analytics|design_thinking,javascript,student_opportunity,analysis,en,EU,2026-03-21T23:08:04.020598,2026-03-22T09:38:17.317168,2026-03-22T09:38:17.317168,Startup Signal,industry_media,Product Desk,10,0.7245,0.8039,0.6787,0.88,0.5773,0.7628,0.8469,0.2794,0.8625,0.8073,active,"[0.593,0.3625,0.1439,-0.4893,-0.2104,-0.2329,-0.1447,-0.047,-0.0022,0.2822,0.0495,0.2305]"
news_0028,news,Ai research digest with practical takeaways,"Campus Pulse covers ai, design, web for students who want personally relevant, current news.","Ai research digest with practical takeaways focuses on ai, design, web and explains why the update matters now. It is written for students who bring analytics, machine_learning, prompt_engineering and can deepen javascript while staying current on fast-moving developments.",ai|design|web,analytics|machine_learning|prompt_engineering,javascript,research_digest,briefing,en,MENA,2026-03-22T01:50:00.356229,2026-03-22T06:27:11.643964,2026-03-22T06:27:11.643964,Campus Pulse,student_media,Ai Desk,14,0.7592,0.9862,0.6071,0.76,0.6765,0.6821,0.791,0.2682,0.7212,0.7245,active,"[0.0663,-0.0656,-0.3451,0.3888,-0.4058,-0.4973,-0.2276,-0.0835,0.3669,0.3184,-0.0383,0.1132]"
news_0029,news,New Fintech paper distilled for students,"Builder Weekly covers fintech, robotics for students who want personally relevant, current news.","New Fintech paper distilled for students focuses on fintech, robotics and explains why the update matters now. It is written for students who bring leadership, python and can deepen data_literacy while staying current on fast-moving developments.",fintech|robotics,leadership|python,data_literacy,research_digest,briefing,es,Global,2026-03-22T05:43:43.776850,2026-03-22T12:00:00,2026-03-22T12:00:00,Builder Weekly,company_blog,Fintech Desk,11,0.7628,0.8929,0.6222,0.82,0.6138,0.5979,0.9778,0.3056,0.9555,0.7519,active,"[-0.2695,0.2136,0.0964,0.3201,-0.3977,-0.0751,-0.6124,-0.0008,-0.3204,0.0371,-0.1913,-0.3009]"
news_0030,news,Mobile demand snapshot for students and builders,"TechWire covers mobile for students who want personally relevant, current news.","Mobile demand snapshot for students and builders focuses on mobile and explains why the update matters now. It is written for students who bring design_thinking, javascript, react and can deepen critical_thinking, public_speaking while staying current on fast-moving developments.",mobile,design_thinking|javascript|react,critical_thinking|public_speaking,market_map,live_blog,ru,MENA,2026-03-22T00:05:34.196187,2026-03-22T04:23:25.844983,2026-03-22T04:23:25.844983,TechWire,newsroom,Mobile Desk,3,0.8873,0.9071,0.5944,0.93,0.5415,0.706,0.7187,0.2537,0.6601,0.8419,active,"[0.636,0.2366,0.1868,-0.044,0.0935,-0.2359,-0.1153,-0.0853,0.3562,0.4451,-0.283,-0.1123]"
news_0031,news,New Climate paper distilled for students,"Policy Radar covers climate, fintech, mobile for students who want personally relevant, current news.","New Climate paper distilled for students focuses on climate, fintech, mobile and explains why the update matters now. It is written for students who bring critical_thinking, sql and can deepen machine_learning, python while staying current on fast-moving developments.",climate|fintech|mobile,critical_thinking|sql,machine_learning|python,research_digest,analysis,en,APAC,2026-03-20T13:01:35.226397,2026-03-20T16:34:00.704342,2026-03-20T16:34:00.704342,Policy Radar,government_watch,Climate Desk,7,0.8511,0.3734,0.5752,0.95,0.4842,0.6696,0.2188,0.1538,0.6136,0.8523,active,"[-0.0737,-0.0104,0.2139,0.3863,-0.5853,0.1342,-0.5582,-0.333,0.1063,0.0351,-0.0611,0.0123]"
news_0032,news,What changed in Cybersecurity in the last 24 hours,"Campus Pulse covers cybersecurity, product for students who want personally relevant, current news.","What changed in Cybersecurity in the last 24 hours focuses on cybersecurity, product and explains why the update matters now. It is written for students who bring critical_thinking, leadership, python and can deepen analytics, design_thinking while staying current on fast-moving developments.",cybersecurity|product,critical_thinking|leadership|python,analytics|design_thinking,breaking,analysis,ru,Global,2026-03-21T18:19:16.892527,2026-03-21T22:58:40.274168,2026-03-21T22:58:40.274168,Campus Pulse,student_media,Cybersecurity Desk,8,0.6547,0.5225,0.7053,0.76,0.6558,0.6851,0.577,1.0,0.467,0.7508,active,"[0.4346,0.3331,0.1867,0.28,-0.4341,0.2812,-0.1644,-0.1043,-0.3194,0.1702,0.388,-0.005]"
news_0033,news,What the latest Product study means right now,"Builder Weekly covers product, science for students who want personally relevant, current news.","What the latest Product study means right now focuses on product, science and explains why the update matters now. It is written for students who bring python and can deepen critical_thinking, git while staying current on fast-moving developments.",product|science,python,critical_thinking|git,research_digest,live_blog,en,Global,2026-03-22T04:04:09.386929,2026-03-22T12:00:00,2026-03-22T12:00:00,Builder Weekly,company_blog,Product Desk,4,0.7499,0.9733,0.6012,0.82,0.609,0.5812,0.9607,0.3021,0.7478,0.786,active,"[-0.0828,-0.099,0.1871,0.2623,-0.5576,0.2043,-0.3688,-0.3114,-0.4625,0.2578,0.1137,0.0246]"
news_0034,news,What changed in Climate in the last 24 hours,"Security Brief covers climate, product, web for students who want personally relevant, current news.","What changed in Climate in the last 24 hours focuses on climate, product, web and explains why the update matters now. It is written for students who bring analytics and can deepen python, sql while staying current on fast-moving developments.",climate|product|web,analytics,python|sql,breaking,analysis,en,MENA,2026-03-21T04:25:13.378566,2026-03-21T13:19:38.855307,2026-03-21T13:19:38.855307,Security Brief,specialist_media,Climate Desk,8,0.8411,0.7566,0.6587,0.94,0.5664,0.5403,0.4636,1.0,0.6211,0.9177,active,"[-0.0759,0.0435,0.1821,0.0075,-0.2187,0.0909,-0.3465,-0.1118,0.0362,-0.2076,0.5656,0.6373]"
news_0035,news,What the latest Cybersecurity study means right now,"Startup Signal covers cybersecurity, startups for students who want personally relevant, current news.","What the latest Cybersecurity study means right now focuses on cybersecurity, startups and explains why the update matters now. It is written for students who bring critical_thinking and can deepen leadership while staying current on fast-moving developments.",cybersecurity|startups,critical_thinking,leadership,research_digest,live_blog,en,US,2026-03-22T01:57:14.093799,2026-03-22T04:22:50.531950,2026-03-22T04:22:50.531950,Startup Signal,industry_media,Cybersecurity Desk,5,0.7475,0.9002,0.8852,0.88,0.8866,0.5785,0.7479,0.2596,0.9716,0.864,active,"[0.3546,0.1403,-0.1007,0.4832,-0.5071,-0.1315,-0.1318,-0.1701,0.1154,-0.0666,0.2263,-0.4703]"
news_0036,news,Data research digest with practical takeaways,"Security Brief covers data for students who want personally relevant, current news.","Data research digest with practical takeaways focuses on data and explains why the update matters now. It is written for students who bring analytics, data_literacy, python and can deepen critical_thinking while staying current on fast-moving developments.",data,analytics|data_literacy|python,critical_thinking,research_digest,newsletter,en,EU,2026-03-19T04:47:15.299194,2026-03-19T12:59:06.279710,2026-03-19T12:59:06.279710,Security Brief,specialist_media,Data Desk,9,0.7819,0.2992,0.6446,0.94,0.3647,0.6006,0.085,0.127,0.8224,0.9178,hidden,"[-0.1468,0.1474,-0.1471,0.6973,-0.4399,0.0451,-0.1538,-0.3046,0.0478,0.0607,0.2685,0.2425]"
news_0037,news,How the new Web rule changes the field,"Campus Pulse covers web for students who want personally relevant, current news.",How the new Web rule changes the field focuses on web and explains why the update matters now. It is written for students who bring javascript and can deepen git while staying current on fast-moving developments.,web,javascript,git,policy_watch,explainer,en,US,2026-03-22T04:21:01.738801,2026-03-22T09:22:54.381219,2026-03-22T09:22:54.381219,Campus Pulse,student_media,Web Desk,3,0.6343,0.8749,0.8406,0.76,0.5817,0.8986,0.8627,0.6357,0.8749,0.687,hidden,"[0.6461,-0.0791,-0.031,-0.4115,-0.0094,-0.4491,0.0536,-0.1341,0.3677,0.1566,0.0899,-0.1247]"
news_0038,news,New Data launch worth your attention,"Global Science Desk covers data, product for students who want personally relevant, current news.","New Data launch worth your attention focuses on data, product and explains why the update matters now. It is written for students who bring analytics, python, sql and can deepen design_thinking while staying current on fast-moving developments.",data|product,analytics|python|sql,design_thinking,product_launch,newsletter,en,EU,2026-03-21T14:58:20.245115,2026-03-21T20:14:09.319673,2026-03-21T20:14:09.319673,Global Science Desk,science_media,Data Desk,5,0.8676,0.5279,0.6937,0.96,0.5019,0.8341,0.5767,0.2253,0.5263,0.916,active,"[-0.0516,0.0046,-0.0996,0.1151,-0.0676,-0.3097,-0.13,0.0894,-0.0697,0.3809,0.4414,0.71]"
